dVmax,ADP90,ADP50,Vreps,tdV
3.29631,150,139,-80.917,5.86
3.03588,156,146,-74.2903,5.74
3.31924,125,115,-82.214,5.89
3.17475,162,151,-74.8838,5.74
3.01048,136,125,-75.8717,5.77
3.25362,108,99,-77.7611,5.8
3.39205,172,162,-74.2535,5.72
2.92867,81,72,-74.3673,5.75
3.08978,173,160,-82.3274,5.89
2.97852,132,121,-79.689,5.85
3.4378,193,180,-83.1999,5.89
3.05739,155,143,-77.3258,5.8
3.00172,139,129,-73.3169,5.72
2.84614,141,130,-75.2212,5.76
3.22894,128,115,-86.4339,5.97
3.07292,132,122,-73.7158,5.72
2.96265,137,124,-83.6852,5.93
3.3692,112,103,-79.5106,5.83
3.64791,186,172,-86.9124,5.96
2.84184,86,77,-73.2945,5.73
2.85447,139,128,-73.8109,5.74
2.86407,170,157,-79.6445,5.85
2.95883,160,148,-79.3,5.84
3.34581,133,122,-82.4612,5.89
3.50144,119,108,-85.4167,5.94
2.91452,148,138,-71.6341,5.69
3.05358,142,133,-70.4884,5.66
3.19565,179,168,-74.7989,5.74
3.35071,138,129,-73.4337,5.71
3.15106,161,152,-70.7219,5.66
3.33676,109,100,-74.779,5.74
3.36039,179,169,-73.0499,5.69
3.28874,178,168,-71.423,5.66
3.24074,153,143,-74.5836,5.73
3.35744,170,160,-71.6818,5.67
3.40044,113,103,-81.6952,5.87
3.40635,171,159,-80.7211,5.85
2.82589,144,134,-71.3186,5.69
3.20037,90,81,-78.5699,5.82
3.38097,180,169,-73.9341,5.71
3.12356,88,80,-71.5633,5.68
3.01672,151,138,-84.4823,5.94
3.41883,104,94,-81.2152,5.87
3.2985,191,179,-77.8312,5.79
2.92008,139,129,-74.2569,5.74
3.63269,214,198,-87.2694,5.96
3.27371,125,113,-84.7745,5.94
3.34792,195,183,-78.3531,5.8
3.16986,116,105,-83.1382,5.91
2.93555,175,161,-81.3628,5.88
2.86594,158,147,-76.3107,5.78
3.16266,103,95,-72.7001,5.7
3.14115,181,167,-84.2534,5.93
3.2736,182,168,-82.9636,5.9
2.82431,84,75,-74.0933,5.75
2.88538,155,144,-72.8691,5.71
2.90344,158,147,-74.3645,5.74
3.24804,163,153,-74.5833,5.73
3.32605,89,80,-76.7864,5.78
2.90268,157,146,-73.1519,5.72
3.23739,121,112,-74.3627,5.73
2.91711,91,82,-72.4876,5.71
3.23745,175,163,-77.7598,5.79
3.31081,127,117,-78.1621,5.8
3.3069,164,151,-81.5572,5.87
3.20511,184,171,-80.289,5.85
2.90543,162,150,-77.9213,5.81
3.32086,151,140,-78.7741,5.81
3.41024,188,173,-85.627,5.94
3.3741,154,144,-78.1523,5.8
3.13101,82,73,-77.5625,5.81
2.99783,117,108,-70.7924,5.67
3.3402,112,100,-87.2368,5.99
3.29512,172,161,-76.4685,5.77
2.98788,128,118,-72.8398,5.71
3.2067,109,101,-72.7255,5.7
2.86529,153,141,-76.67,5.79
2.91802,166,154,-79.2667,5.84
3.14598,152,142,-73.2905,5.71
3.36545,163,152,-79.3023,5.82
2.82772,77,68,-76.7816,5.81
2.93255,164,153,-74.3486,5.74
2.89225,154,144,-69.495,5.65
3.35482,139,130,-73.598,5.71
3.04532,150,138,-78.3892,5.82
2.86314,69,61,-71.5146,5.7
3.41831,175,161,-85.0637,5.93
2.8561,147,137,-72.494,5.71
3.22417,94,86,-72.4054,5.69
3.33282,179,169,-72.2048,5.68
3.01583,111,102,-71.7717,5.69
3.56159,123,111,-87.9386,5.99
3.1934,171,158,-82.2976,5.89
3.33979,108,99,-77.7982,5.8
2.90345,128,118,-73.4285,5.73
2.9146,134,123,-74.4968,5.75
2.97771,109,100,-73.1206,5.72
2.99568,156,146,-71.8246,5.69
2.88443,132,120,-79.4535,5.85
3.2987,186,174,-79.9192,5.83
3.03889,136,124,-82.3431,5.9
3.30842,190,178,-78.8478,5.81
3.20472,168,157,-78.1577,5.8
3.23416,168,157,-78.0367,5.8
2.82406,151,140,-73.8785,5.74
3.11799,130,120,-76.1476,5.77
2.98584,136,126,-74.4032,5.74
2.93037,138,129,-70.221,5.66
2.83794,130,120,-76.0192,5.78
3.1525,133,124,-73.3987,5.71
2.83268,129,119,-74.5153,5.75
2.91787,120,111,-70.2351,5.66
3.37245,87,79,-72.7915,5.7
2.99856,157,145,-77.8425,5.81
3.08563,142,130,-79.3359,5.84
3.16405,157,144,-83.1473,5.91
3.12064,167,157,-70.3666,5.65
3.00317,163,152,-76.6227,5.78
2.99262,146,134,-79.9267,5.85
3.16665,143,133,-75.6674,5.76
3.08721,136,124,-82.7122,5.9
3.5343,167,154,-85.7569,5.94
2.93232,150,140,-70.8013,5.67
2.98459,152,141,-73.766,5.73
3.4321,168,157,-80.2901,5.84
2.80961,98,89,-69.9567,5.66
2.94826,157,147,-70.2934,5.66
3.08658,145,133,-80.6376,5.86
2.9842,158,148,-71.3709,5.68
3.04388,160,149,-73.2644,5.71
2.94462,171,159,-79.4602,5.84
3.38252,132,122,-78.8538,5.81
3.16619,159,150,-71.129,5.66
2.84841,137,127,-70.6412,5.67
2.92658,165,154,-74.4649,5.74
3.28322,166,156,-73.4138,5.71
3.26645,169,158,-76.5242,5.77
3.26608,123,114,-77.7794,5.8
3.15508,171,158,-80.9778,5.86
3.15151,144,133,-74.982,5.74
3.00847,117,107,-75.5158,5.76
3.54789,147,135,-84.7201,5.92
3.25854,180,168,-79.5834,5.83
3.38639,168,157,-75.3523,5.74
2.82634,145,134,-76.8828,5.8
3.05168,153,143,-72.9801,5.71
3.23115,138,129,-71.3836,5.67
3.34405,183,169,-84.8233,5.93
3.20861,177,167,-72.3334,5.69
3.41448,110,101,-80.4217,5.85
3.45107,100,90,-83.4416,5.91
3.4046,194,182,-78.1585,5.79
2.9806,116,103,-84.8927,5.95
3.38687,144,133,-83.4314,5.9
2.97006,102,90,-85.0191,5.96
3.02849,86,77,-75.698,5.77
2.83129,75,66,-77.2242,5.81
3.14527,170,157,-83.579,5.91
3.241,126,116,-77.3792,5.79
3.24414,172,161,-75.4568,5.75
3.36683,202,187,-85.9517,5.95
3.09208,154,143,-76.1762,5.77
2.85418,149,139,-71.8342,5.7
3.34194,186,173,-80.2707,5.84
3.20512,170,159,-74.7651,5.74
2.91927,75,66,-78.4651,5.84
3.11161,190,175,-83.2062,5.91
3.2224,91,82,-76.7843,5.79
2.82265,77,69,-70.0606,5.67
3.05536,156,145,-76.3216,5.78
3.33025,162,152,-71.5123,5.67
2.85634,72,63,-75.2516,5.77
3.37891,191,180,-75.9775,5.75
3.04796,107,98,-71.6309,5.68
3.02868,126,116,-75.6314,5.77
3.2821,130,120,-74.7711,5.74
3.36015,149,137,-82.3801,5.88
2.98486,77,68,-73.8526,5.74
2.88786,108,97,-79.5744,5.85
2.95381,168,157,-73.6049,5.72
3.08481,99,90,-75.5215,5.76
2.98179,90,80,-78.3021,5.83
2.8275,159,148,-72.4811,5.71
2.95036,162,151,-71.6049,5.69
3.00976,149,138,-74.9695,5.75
3.11045,180,168,-75.7321,5.76
2.86987,168,156,-76.6205,5.79
2.96567,91,82,-74.5682,5.75
2.93772,83,73,-79.6809,5.86
3.04226,101,92,-74.0574,5.74
3.32166,173,158,-86.283,5.96
3.06526,129,119,-77.2932,5.8
3.43093,121,111,-83.9244,5.92
3.21928,137,125,-84.6606,5.94
3.39446,159,149,-74.7076,5.73
3.37067,128,117,-82.8215,5.9
3.42079,190,178,-78.6615,5.8
2.98447,150,140,-70.5885,5.66
2.89717,152,140,-77.8098,5.81
3.58904,186,172,-85.831,5.94
3.16002,169,155,-83.3129,5.91
3.2867,166,155,-76.1313,5.76
2.88051,66,59,-70.3649,5.67
3.26579,182,171,-74.8849,5.74
3.32782,86,79,-72.4664,5.69
2.85675,144,133,-75.9248,5.78
3.50387,190,177,-84.1315,5.91
3.00554,162,152,-71.5242,5.68
2.9035,140,129,-78.0704,5.82
3.14843,130,121,-74.3009,5.73
3.36356,191,179,-77.6535,5.79
3.61283,210,195,-86.7352,5.95
2.84392,150,139,-74.5806,5.75
3.36478,131,118,-87.1974,5.98
3.64046,184,170,-86.8638,5.96
3.26627,191,177,-81.1868,5.86
3.25455,185,171,-83.2355,5.9
3.03241,143,132,-75.6354,5.76
3.55952,192,178,-85.5604,5.93
3.31763,106,98,-72.7739,5.7
3.22702,164,153,-74.3973,5.73
3.48048,173,160,-85.7612,5.94
3.31568,138,128,-79.317,5.83
3.44355,154,142,-82.978,5.89
3.47486,122,111,-85.0652,5.94
3.54585,206,192,-84.349,5.91
3.26708,168,157,-77.365,5.79
3.23599,139,130,-73.7849,5.72
3.02425,138,128,-72.485,5.7
3.42934,196,184,-79.8121,5.83
3.38103,122,112,-76.9848,5.78
3.12176,148,135,-83.2063,5.91
3.15847,163,152,-78.0611,5.8
3.02264,107,97,-78.2134,5.82
3.2712,106,96,-81.2756,5.87
2.94758,81,70,-84.4647,5.96
2.88209,120,109,-77.8881,5.82
2.8464,113,103,-74.3186,5.75
2.95032,74,66,-74.6711,5.76
3.33276,110,100,-80.8616,5.86
3.3276,165,155,-75.7119,5.75
3.19673,94,86,-71.9345,5.69
2.9746,168,157,-74.3403,5.74
2.83238,138,128,-71.0658,5.68
3.26426,132,123,-71.5288,5.67
3.09872,99,87,-85.1518,5.96
3.05824,84,76,-72.7867,5.71
3.25563,118,107,-81.7134,5.88
2.89711,89,81,-72.1687,5.71
3.43741,116,105,-85.0482,5.94
3.06927,164,153,-78.1027,5.81
3.09005,148,139,-70.8923,5.66
2.92638,167,154,-81.3115,5.88
3.24123,175,163,-78.0516,5.8
3.18206,125,114,-80.5145,5.86
2.92942,132,122,-75.2482,5.76
2.93606,123,110,-83.7843,5.93
3.19418,152,142,-77.1393,5.79
3.40115,197,185,-77.7431,5.79
3.00845,129,118,-78.9946,5.83
3.16864,182,170,-76.9405,5.78
3.25203,89,81,-73.471,5.72
3.50855,130,119,-83.4792,5.9
3.3072,152,140,-83.0835,5.9
3.12866,152,138,-84.9366,5.94
3.20302,93,84,-80.2008,5.86
2.9812,102,91,-82.6049,5.91
3.36861,91,83,-72.4443,5.69
3.43921,157,144,-85.3328,5.94
3.20234,174,163,-77.1844,5.78
3.54469,191,177,-86.4691,5.95
3.38102,191,178,-83.1944,5.89
3.0493,166,156,-72.1973,5.69
2.90652,137,127,-70.3096,5.66
3.30414,140,130,-75.3305,5.75
2.959,135,125,-72.4116,5.7
2.98252,93,83,-81.2614,5.89
3.26898,144,132,-81.8728,5.88
2.9901,138,127,-76.4754,5.78
2.93345,136,127,-72.1221,5.7
3.21821,155,142,-84.2022,5.92
3.15967,177,165,-78.8049,5.82
3.21244,137,127,-76.2793,5.77
3.15827,158,144,-84.8043,5.94
3.09379,151,140,-77.7941,5.8
3.06483,179,164,-84.0046,5.93
3.1397,110,102,-70.9421,5.67
2.90346,126,114,-81.0899,5.88
3.17785,187,175,-77.5392,5.79
3.35195,146,136,-77.6564,5.79
3.03202,154,144,-72.2482,5.69
2.96329,125,114,-78.8006,5.83
3.31782,129,119,-75.0921,5.74
3.23107,164,155,-71.0489,5.66
3.27104,167,157,-73.9623,5.72
3.31782,191,177,-83.0273,5.89
3.35802,181,170,-75.6439,5.75
2.88832,131,119,-81.6407,5.89
2.91051,102,92,-74.5801,5.75
2.89426,148,135,-79.905,5.85
2.8601,138,127,-73.3516,5.73
2.96032,153,143,-71.7141,5.69
3.13407,103,94,-75.9243,5.77
3.35219,171,161,-71.5963,5.67
3.22379,127,115,-84.6175,5.94
3.57075,207,193,-84.847,5.92
2.89681,153,141,-75.5965,5.77
3.10761,185,171,-82.1288,5.89
3.07479,177,164,-77.8381,5.8
2.93685,105,95,-73.9871,5.74
3.47154,202,189,-81.193,5.85
3.28984,180,169,-74.8876,5.73
3.19098,160,148,-80.4928,5.85
3.07349,136,126,-73.9012,5.73
3.23921,126,117,-73.5578,5.71
3.04005,133,120,-84.2229,5.94
3.16448,101,92,-77.3053,5.8
3.29598,144,134,-78.6144,5.81
3.38451,139,128,-82.6849,5.89
3.30607,100,92,-72.0285,5.68
3.33962,192,180,-78.8719,5.81
2.96897,90,81,-77.61,5.81
3.07533,163,149,-83.4691,5.92
3.13694,131,121,-76.8071,5.78
3.41694,192,179,-83.3854,5.9
2.83052,153,141,-76.4644,5.79
2.89728,123,113,-72.1426,5.7
3.36438,193,180,-79.7296,5.83
2.93154,104,92,-82.8052,5.92
2.87004,131,121,-72.1495,5.7
3.00436,166,155,-75.3511,5.76
3.18123,148,134,-85.7957,5.96
2.84313,161,150,-73.545,5.73
3.38935,195,184,-77.3879,5.78
3.49847,113,102,-85.8913,5.95
3.35883,153,142,-80.5065,5.85
2.89652,118,108,-73.6893,5.73
3.38863,102,92,-83.1405,5.91
3.15069,181,169,-77.9919,5.8
3.24293,156,142,-85.1733,5.94
2.99226,132,122,-74.3438,5.74
2.92581,146,135,-78.228,5.82
3.23645,115,106,-77.642,5.8
3.03378,183,168,-84.7482,5.94
2.84135,143,132,-75.9607,5.78
3.21033,146,135,-79.2683,5.83
2.91477,147,137,-70.9142,5.67
2.93298,148,137,-75.679,5.77
3.45014,101,91,-85.2857,5.95
3.14971,159,148,-77.4969,5.79
3.46038,159,147,-81.9698,5.87
3.31007,168,157,-77.0171,5.78
3.2264,104,93,-82.8309,5.91
3.38868,175,164,-75.7062,5.75
2.92021,89,78,-82.6629,5.92
3.01675,187,172,-84.9074,5.94
3.1039,168,157,-74.8174,5.74
2.95483,160,146,-82.7165,5.91
3.11379,94,83,-82.7017,5.91
3.32907,89,81,-72.7902,5.7
3.14154,147,137,-71.6308,5.68
3.16255,185,173,-77.3339,5.79
3.04349,138,125,-83.85,5.93
3.01123,74,65,-74.1201,5.74
2.98762,182,167,-84.7299,5.94
3.28614,184,172,-79.8037,5.83
3.21663,146,133,-83.3689,5.91
2.91416,89,80,-77.6568,5.82
2.99139,95,85,-81.3414,5.89
3.38937,124,115,-75.3633,5.74
2.986,71,63,-71.933,5.7
3.52445,161,148,-84.9147,5.93
3.0122,76,69,-71.7293,5.69
3.29863,155,144,-81.0777,5.86
2.85121,141,131,-69.1253,5.64
3.3378,150,139,-79.6627,5.83
3.24052,89,81,-72.9572,5.71
2.94772,131,120,-79.7485,5.85
3.35546,113,102,-85.4793,5.95
2.94388,94,84,-77.2183,5.81
2.85436,129,118,-74.8424,5.76
3.19306,103,94,-76.6098,5.78
3.44055,167,154,-84.5141,5.92
2.91841,88,79,-73.4142,5.73
3.44512,200,186,-82.9966,5.89
3.37775,99,88,-85.9634,5.96
3.35885,122,111,-85.9233,5.96
3.15218,178,167,-75.0558,5.74
2.99277,171,160,-74.5,5.74
3.47475,201,188,-82.5512,5.88
3.59397,131,119,-88.2175,5.99
3.56173,207,192,-86.6415,5.95
2.83628,99,91,-69.8089,5.66
3.13904,158,145,-81.6284,5.88
2.91534,161,150,-74.0551,5.74
3.27926,191,177,-82.7232,5.89
2.99891,116,107,-70.6477,5.67
3.17381,154,142,-79.6685,5.84
3.32487,161,150,-78.575,5.81
2.90593,146,136,-73.6028,5.73
2.95466,170,158,-77.7986,5.81
3.42035,163,152,-80.8562,5.85
2.86564,127,116,-76.859,5.8
2.90163,88,79,-76.4058,5.79
3.07413,158,148,-74.6917,5.74
3.13101,176,161,-85.1415,5.94
3.24096,160,147,-83.1932,5.9
2.97737,99,88,-82.0944,5.9
2.90439,126,114,-79.0401,5.84
