dVmax,ADP90,ADP50,Vreps,tdV
3.64741,222,204,-87.491,5.96
3.20634,218,197,-87.6837,5.98
3.13802,217,200,-87.4677,5.98
3.52984,234,210,-87.7008,5.96
3.08339,239,220,-87.412,5.98
3.53437,216,196,-87.5298,5.96
3.28826,231,212,-87.4342,5.97
3.45772,203,185,-87.4666,5.96
3.31862,227,210,-87.4475,5.97
3.12703,246,227,-87.5125,5.98
3.55095,216,193,-87.7554,5.96
3.06618,209,191,-87.4876,5.98
3.0716,236,215,-87.5286,5.98
3.6644,264,242,-87.6047,5.96
3.49268,236,218,-87.4471,5.97
3.13949,236,219,-87.447,5.98
3.28434,242,225,-87.3949,5.97
3.5441,227,207,-87.6251,5.96
3.49793,244,223,-87.615,5.96
3.30261,213,192,-87.6664,5.97
3.311,228,208,-87.6538,5.97
3.06008,228,206,-87.7739,5.98
3.13079,241,222,-87.4846,5.98
3.09502,239,219,-87.6641,5.98
3.42301,234,215,-87.4929,5.97
3.579,231,213,-87.4483,5.96
3.41354,255,235,-87.4893,5.97
3.54387,213,196,-87.3885,5.96
3.54926,214,195,-87.4633,5.96
3.51007,215,196,-87.5722,5.96
3.24506,220,203,-87.4865,5.98
3.38625,243,220,-87.6611,5.97
3.32361,245,224,-87.6929,5.97
3.2363,195,178,-87.486,5.98
3.39434,227,208,-87.5637,5.97
3.17157,194,178,-87.3934,5.98
3.64003,210,194,-87.5184,5.96
3.37509,219,200,-87.5931,5.97
3.12159,234,212,-87.6362,5.98
3.34689,207,190,-87.5156,5.97
3.5623,255,231,-87.6994,5.96
3.18748,226,206,-87.595,5.98
3.14297,214,198,-87.4657,5.98
3.60907,260,240,-87.5409,5.96
3.21774,233,214,-87.5645,5.98
3.34477,243,226,-87.4286,5.97
3.59794,210,192,-87.5568,5.96
3.37731,219,200,-87.5472,5.97
3.60212,219,201,-87.4219,5.96
3.4235,222,200,-87.6415,5.96
3.47856,243,222,-87.713,5.96
3.33721,238,216,-87.5896,5.97
3.25389,224,203,-87.5634,5.97
3.53671,245,223,-87.6554,5.96
3.36514,248,230,-87.5036,5.97
3.26641,227,209,-87.4217,5.97
3.54385,239,222,-87.4812,5.96
3.60787,237,219,-87.5178,5.96
3.35686,224,207,-87.4203,5.97
3.27142,212,194,-87.4867,5.98
3.2206,224,204,-87.683,5.98
3.22372,231,207,-87.7738,5.97
3.40425,234,215,-87.5149,5.97
3.3237,219,201,-87.4636,5.97
3.25069,230,214,-87.3626,5.98
3.40457,213,195,-87.4454,5.97
3.62808,238,215,-87.7722,5.96
3.40736,218,200,-87.4941,5.97
3.37274,257,238,-87.4392,5.97
3.22221,219,197,-87.5832,5.97
3.5472,234,212,-87.5938,5.96
3.24764,205,188,-87.3711,5.98
3.62828,228,210,-87.467,5.96
3.44707,233,212,-87.6515,5.96
3.37894,222,204,-87.4518,5.97
3.34854,221,199,-87.6949,5.97
3.19632,220,203,-87.4667,5.98
3.5454,233,213,-87.4468,5.96
3.15105,228,209,-87.4288,5.98
3.55396,257,235,-87.64,5.96
3.48267,209,190,-87.5337,5.97
3.49876,231,210,-87.7417,5.96
3.44819,225,205,-87.4605,5.97
3.59058,235,212,-87.696,5.96
3.29525,229,210,-87.4299,5.97
3.44261,223,205,-87.405,5.97
3.19294,228,204,-87.8049,5.98
3.06908,200,180,-87.6242,5.98
3.61704,239,220,-87.4369,5.96
3.2496,231,213,-87.4642,5.97
3.17942,233,215,-87.4604,5.98
3.5637,243,224,-87.3944,5.96
3.4758,203,186,-87.4422,5.97
3.14743,224,199,-87.6967,5.98
3.21072,222,205,-87.4436,5.98
3.57093,224,206,-87.3866,5.96
3.63537,221,202,-87.383,5.96
3.56868,220,200,-87.6391,5.96
3.62132,217,197,-87.5565,5.96
3.53323,228,210,-87.4289,5.96
3.59303,253,233,-87.5581,5.96
3.25019,247,229,-87.397,5.98
3.11149,234,216,-87.5015,5.98
3.58456,230,210,-87.49,5.96
3.32442,249,231,-87.4745,5.97
3.42899,249,229,-87.5127,5.97
3.6594,216,196,-87.597,5.96
3.09078,242,222,-87.5587,5.98
3.66358,224,203,-87.6779,5.96
3.50533,252,233,-87.4087,5.96
3.26028,219,201,-87.5242,5.97
3.11355,220,202,-87.5739,5.98
3.35575,218,200,-87.4292,5.97
3.58219,202,182,-87.7469,5.96
3.6274,205,184,-87.7816,5.96
3.34505,238,220,-87.4156,5.97
3.1429,236,214,-87.7178,5.98
3.40928,255,231,-87.6941,5.96
3.47348,233,211,-87.6373,5.96
3.43351,237,216,-87.6487,5.96
3.61614,240,218,-87.6574,5.96
3.11543,229,210,-87.6335,5.98
3.30375,212,194,-87.4432,5.97
3.22469,235,216,-87.5733,5.98
3.28613,244,222,-87.5799,5.97
3.2551,221,204,-87.4272,5.97
3.53869,213,195,-87.4023,5.96
3.40198,243,225,-87.4944,5.97
3.07548,230,209,-87.7439,5.98
3.40014,226,208,-87.4461,5.97
3.42955,224,207,-87.4463,5.97
3.25829,232,216,-87.3702,5.98
3.06151,226,205,-87.6148,5.98
3.36631,217,194,-87.694,5.97
3.26729,235,216,-87.5243,5.97
3.46044,232,209,-87.6408,5.96
3.37671,228,207,-87.752,5.97
3.61102,230,212,-87.4519,5.96
3.64846,239,218,-87.5578,5.96
3.64143,252,234,-87.4883,5.96
3.41863,231,210,-87.7179,5.97
3.48447,216,197,-87.5337,5.96
3.37045,226,207,-87.5059,5.97
3.38137,227,207,-87.5455,5.97
3.50756,219,198,-87.6596,5.96
3.51848,215,197,-87.6027,5.96
3.34405,237,218,-87.397,5.97
3.34527,247,225,-87.5625,5.97
3.41163,232,210,-87.6155,5.97
3.18432,230,207,-87.771,5.98
3.19418,208,188,-87.5131,5.98
3.37662,210,191,-87.5147,5.97
3.18878,216,197,-87.5234,5.98
3.19607,248,229,-87.4985,5.98
3.21323,218,198,-87.5567,5.97
3.63187,215,196,-87.4688,5.96
3.2765,231,214,-87.386,5.97
3.43175,229,209,-87.7207,5.96
3.29938,206,189,-87.3852,5.97
3.13797,230,208,-87.6124,5.98
3.61999,237,214,-87.7221,5.96
3.20475,214,191,-87.8281,5.98
