dVmax,ADP90,ADP50,Vreps,tdV
3.11435,157,144,-83.7321,5.92
3.55966,197,183,-84.5352,5.91
2.98308,121,109,-82.1792,5.9
2.90639,146,135,-75.6463,5.77
2.87078,111,100,-77.5336,5.81
3.1623,136,125,-80.4777,5.86
3.2016,157,145,-79.0483,5.82
2.88946,176,163,-81.1304,5.88
3.20742,83,74,-76.5302,5.78
3.01366,116,105,-78.0997,5.82
3.13037,181,167,-84.3648,5.93
3.27142,164,152,-78.761,5.81
3.05494,177,165,-75.5966,5.76
3.14568,128,118,-76.4145,5.78
3.27213,141,131,-78.2332,5.81
3.45549,192,179,-81.482,5.86
3.29275,179,169,-72.3761,5.68
2.86006,130,119,-73.5004,5.73
3.26053,118,109,-76.6605,5.78
3.22559,179,168,-75.4312,5.75
2.99226,141,130,-76.7775,5.79
3.06576,97,86,-83.8133,5.93
3.12545,162,152,-74.9658,5.74
2.83126,76,67,-75.2892,5.77
2.88509,126,114,-81.7523,5.89
3.06606,164,152,-81.311,5.87
3.46757,203,190,-81.0424,5.85
3.005,147,137,-71.6647,5.68
2.91624,163,152,-73.4474,5.72
2.86363,156,146,-71.4753,5.69
3.09851,167,152,-85.0894,5.95
3.27182,130,121,-75.2296,5.75
2.95368,77,69,-71.7025,5.69
2.92753,126,116,-74.5149,5.75
3.22089,137,125,-83.9463,5.92
3.4549,163,151,-82.087,5.87
3.06691,103,94,-71.1775,5.67
2.84101,148,137,-74.8738,5.76
2.90443,164,153,-75.6234,5.77
3.01277,170,155,-84.4962,5.94
3.28202,102,92,-81.7388,5.88
2.91526,79,68,-82.2975,5.91
3.15518,165,152,-80.9005,5.86
3.04977,140,128,-82.2919,5.9
3.30076,184,173,-74.5292,5.73
3.22688,130,120,-75.9287,5.76
3.11067,157,145,-80.5823,5.86
3.18519,80,72,-74.2764,5.74
2.9163,161,151,-73.34,5.72
3.03243,119,108,-81.9326,5.89
3.01846,143,132,-75.1406,5.75
3.14868,161,151,-71.1316,5.67
3.37007,156,146,-75.9472,5.75
3.39236,127,117,-76.552,5.77
3.2713,153,140,-85.3593,5.95
3.33661,183,172,-76.2234,5.76
3.25202,125,115,-76.96,5.78
3.22789,133,123,-76.3535,5.77
3.20936,162,151,-78.693,5.82
3.07842,158,148,-71.2833,5.67
3.3459,90,82,-78.545,5.82
3.42856,201,188,-81.2733,5.85
3.16866,99,90,-75.6259,5.76
3.05288,88,79,-76.6106,5.79
3.36043,165,155,-74.0368,5.71
3.38451,135,125,-78.4637,5.81
3.34597,144,130,-86.7878,5.97
2.9636,174,159,-84.1763,5.93
3.15275,184,171,-81.3217,5.87
3.33418,110,99,-86.3511,5.97
3.43173,201,186,-86.2429,5.95
2.88568,172,159,-78.4543,5.83
3.28093,192,178,-83.2142,5.9
3.32881,117,108,-75.8365,5.76
2.83092,120,110,-72.7762,5.72
3.24579,155,141,-86.4117,5.97
3.19685,177,165,-77.604,5.79
2.92929,116,107,-71.095,5.68
2.86694,160,148,-76.7034,5.79
3.40873,194,182,-78.9997,5.81
3.40857,183,169,-84.1626,5.91
3.28221,176,165,-77.5481,5.79
3.38199,164,154,-73.9179,5.71
3.40381,130,117,-87.483,5.99
2.89496,134,122,-80.5563,5.87
3.18034,172,161,-73.6063,5.71
3.3179,145,136,-74.6296,5.73
2.98465,175,161,-82.9207,5.91
3.47512,168,156,-84.0021,5.91
2.83485,160,148,-76.1277,5.78
3.01357,85,77,-73.3927,5.73
2.81597,83,74,-72.2917,5.71
3.03325,91,81,-78.7682,5.83
2.95545,170,158,-75.6334,5.77
3.09351,107,99,-71.1663,5.67
2.82778,134,123,-73.8587,5.74
3.25057,178,167,-75.8614,5.76
3.28349,169,159,-74.9286,5.74
3.308,187,175,-80.0693,5.84
3.36993,184,173,-77.6544,5.79
3.45845,159,146,-84.9476,5.93
3.28929,141,131,-75.0261,5.74
3.0844,157,145,-79.6026,5.84
3.04046,89,81,-73.9524,5.74
3.09092,171,158,-80.7932,5.86
3.29384,174,164,-71.9837,5.68
3.08999,144,135,-70.227,5.65
3.39074,163,152,-75.0553,5.73
3.04713,84,74,-82.7292,5.92
2.86048,132,122,-71.6608,5.69
2.91821,104,94,-77.6629,5.81
3.13431,165,154,-73.2336,5.71
3.19243,162,150,-80.4148,5.85
3.18937,127,117,-78.8908,5.82
2.83593,110,101,-71.9104,5.7
3.0355,144,134,-72.5261,5.7
3.01589,150,137,-83.5851,5.92
3.15131,88,80,-71.4075,5.68
3.21693,163,153,-71.8895,5.68
3.42435,196,184,-80.0305,5.83
3.08417,108,99,-72.6976,5.7
3.14627,163,152,-76.0306,5.76
2.83131,158,147,-74.9146,5.76
3.27373,104,95,-75.0879,5.75
3.05843,148,134,-84.8523,5.94
3.29313,162,152,-73.994,5.72
2.89968,174,161,-78.4593,5.82
3.22895,146,136,-76.7322,5.78
3.46986,174,162,-81.6569,5.86
3.4641,145,133,-85.7826,5.95
3.17431,166,156,-73.029,5.7
3.32846,114,104,-78.4525,5.81
3.38022,115,104,-85.0976,5.94
3.03364,108,99,-73.6069,5.73
3.28,178,168,-73.5152,5.71
3.10604,155,142,-81.6408,5.88
3.1375,102,92,-82.2865,5.9
3.11638,108,100,-71.624,5.68
3.3134,104,95,-79.5301,5.84
3.40745,185,174,-77.8224,5.79
3.01216,170,159,-73.6531,5.72
3.25474,116,107,-72.1295,5.68
3.52779,200,186,-85.4859,5.93
